timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
2023/06/22 18:56:56.252, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0, 22 %, 6 %, 841 MiB, 7140 MiB, 8192 MiB
timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
2023/06/22 18:56:57.274, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0, 24 %, 13 %, 869 MiB, 7112 MiB, 8192 MiB
timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
2023/06/22 18:56:58.303, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0, 29 %, 15 %, 865 MiB, 7116 MiB, 8192 MiB
timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
2023/06/22 18:56:59.332, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0, 28 %, 15 %, 865 MiB, 7116 MiB, 8192 MiB
timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
2023/06/22 18:57:00.362, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0, 20 %, 10 %, 865 MiB, 7116 MiB, 8192 MiB
timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
2023/06/22 18:57:01.392, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0, 37 %, 19 %, 865 MiB, 7116 MiB, 8192 MiB
timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
2023/06/22 18:57:02.422, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0, 26 %, 14 %, 817 MiB, 7165 MiB, 8192 MiB
timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
2023/06/22 18:57:03.453, 0, NVIDIA GeForce RTX 2070, 00000000:01:00.0, 27 %, 13 %, 826 MiB, 7156 MiB, 8192 MiB
timestamp, index, name, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
